Sample,,,,,,,43  Ca  [ No Gas ] ,,,,43  Ca  [ He Gas ] ,,,,44  Ca  [ No Gas ] ,,,,44  Ca  [ He Gas ] ,,,,55  Mn  [ No Gas ] ,,,,56  Fe  [ He Gas ] ,,,,60  Ni  [ No Gas ] ,,,,63  Cu  [ No Gas ] ,,,,66  Zn  [ No Gas ] ,,,,95  Mo  [ No Gas ] ,,,,111  Cd  [ No Gas ] ,,,,182  W  [ No Gas ] ,,,,184  W  [ No Gas ] ,,,,208  Pb  [ No Gas ] ,,,,7  Li ( ISTD )  [ No Gas ] ,,,7  Li ( ISTD )  [ He Gas ] ,,,45  Sc ( ISTD )  [ No Gas ] ,,,45  Sc ( ISTD )  [ He Gas ] ,,,89  Y ( ISTD )  [ No Gas ] ,,,89  Y ( ISTD )  [ He Gas ] ,,,103  Rh ( ISTD )  [ No Gas ] ,,,103  Rh ( ISTD )  [ He Gas ] ,,,115  In ( ISTD )  [ No Gas ] ,,,115  In ( ISTD )  [ He Gas ] ,,,209  Bi ( ISTD )  [ No Gas ] ,,,209  Bi ( ISTD )  [ He Gas ] ,,
,Rjct,Data File,Acq. Date-Time,Type,Level,Sample Name,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,Conc. [ ppb ],Conc. RSD,CPS,CPS RSD,CPS,CPS RSD,ISTD Recovery %,CPS,CPS RSD,ISTD Recovery %,CPS,CPS RSD,ISTD Recovery %,CPS,CPS RSD,ISTD Recovery %,CPS,CPS RSD,ISTD Recovery %,CPS,CPS RSD,ISTD Recovery %,CPS,CPS RSD,ISTD Recovery %,CPS,CPS RSD,ISTD Recovery %,CPS,CPS RSD,ISTD Recovery %,CPS,CPS RSD,ISTD Recovery %,CPS,CPS RSD,ISTD Recovery %,CPS,CPS RSD,ISTD Recovery %
,FALSE,001CALB.d,11/13/2022 14:50,CalBlk,1,First blank,-0.819,N/A,6.83E+02,8.6,3.859,281.1,6.01,91.3,-3.956,N/A,1.06E+05,1.4,0.45,1032,98.1,42.9,0.001,215.6,4.03E+03,4.8,-0.023,N/A,4.54E+02,13.2,-0.009,N/A,1639.75,9.4,-0.005,N/A,2.26E+03,7.7,-0.097,N/A,4.34E+04,2.3,0,N/A,46.05,11.9,0,300.6,4,136.9,0,316.2,32.03,60.1,0,N/A,14.01,119.5,0,N/A,242.25,9.9,2598.85,8.6,100,2,223.6,100,84648.5,1.3,100,672.69,16.2,100,101619.2,0.6,100,2739.03,4.6,100,85737.6,2.1,100,9045.98,2.3,100,97680.08,0.8,100,3513.98,4.3,100,75652.91,1.8,100,13450.36,1.8,100
,FALSE,002CALB.d,11/13/2022 14:53,CalBlk,1,Second blank,0,N/A,7.25E+02,23.9,0,N/A,4,136.9,0,N/A,1.05E+05,1.3,0,N/A,94.09,34.1,0,N/A,3.65E+03,7.9,0,N/A,5.01E+02,9.5,0,N/A,1639.75,12.6,0,N/A,2.25E+03,5.1,0,N/A,4.11E+04,3.7,0,N/A,48.05,68.1,0,N/A,2,223.6,0,N/A,24.02,63.2,0,N/A,22.02,59.3,0,N/A,248.25,17,2494.73,6.1,100,2,223.6,100,79324.08,2.2,100,652.67,7.3,100,95006.17,3.1,100,2875.18,7.3,100,79419.28,3.5,100,9015.94,2.2,100,90056.47,1.1,100,3646.16,8.5,100,70590.53,3.3,100,13568.57,4.3,100
,FALSE,003CALS.d,11/13/2022 14:57,CalStd,2,STD1 0.5-1 ppb,20.293,4.5,3.31E+03,3.6,23.308,176.7,16.02,129.6,14.544,13.3,1.44E+05,0.7,22.642,24.7,310.32,15.1,1.261,3.3,9.86E+04,1.3,1.633,3.2,4.18E+03,2.5,0.523,6.8,9582.79,4.6,0.692,4,2.83E+04,2.6,11.676,4.8,1.74E+05,1.8,0.523,4,7978.27,3.3,0.545,3.4,18903.57,2.9,0.534,3.6,14259.82,3.5,0.561,4.2,17430.76,3.1,0.533,3.8,30365.09,3.3,2668.92,9.1,107,2,223.6,100,82671.53,1.4,104.2,692.72,5.4,106.1,103056.77,1.9,108.5,2975.31,8.7,103.5,86996.67,2.1,109.5,9470.69,3.6,105,99024.86,2.1,110,3738.28,6.1,102.5,75435.43,1.6,106.9,13923.3,2.7,102.6
"7  Li ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 300.00 is outside the allowed range [80.00, 120.00]",FALSE,004CALS.d,11/13/2022 15:01,CalStd,3,STD2 1-50 ppb,72.419,3.5,9.42E+03,3.7,75.73,25.5,44.04,25.9,67.393,1.9,2.41E+05,1,80.285,19.3,840.88,13.6,63.666,3.1,4.61E+06,3,128.717,2.9,2.86E+05,0.8,4.719,2.4,69629.82,1.5,14.175,2.3,5.12E+05,2,20.468,2.4,2.62E+05,2.6,1.316,2.4,19296.37,2,1.101,2.6,37376.58,2.4,1.193,3,31179.04,2.4,1.195,3,36335.09,2.7,1.062,3.3,58992.99,3.3,2925.24,7.1,117.3,6.01,149.1,300,81002.52,0.9,102.1,682.71,13.4,104.6,100557.01,1.2,105.8,2937.26,6.7,102.2,83931.15,0.9,105.7,9374.54,3.6,104,96964.54,1.1,107.7,3638.14,4.6,99.8,75077.29,2.3,106.4,13983.4,2.3,103.1
,FALSE,005CALS.d,11/13/2022 15:04,CalStd,4,STD3 5-250 ppb,137.128,1.7,1.72E+04,1.8,137.356,47.2,82.08,48.3,133.968,2.6,3.69E+05,1.5,127.663,13.5,1375.45,15.2,319.994,2.4,2.32E+07,2.2,307.57,4.2,7.28E+05,0.9,5.403,3.4,79628.3,3.3,112.313,3.7,4.05E+06,3,91.822,1.9,1.02E+06,1.5,5.35,1.2,78447.79,1.3,5.313,1.6,180934.17,1.2,5.389,1.6,141225.78,1.8,5.352,2.7,163182.92,2.5,5.213,2.2,289427.45,2.1,2793.07,3.4,112,2,223.6,100,84459.1,0.9,106.5,694.72,14,106.4,101425.89,1.1,106.8,2979.31,6.8,103.6,84092.29,0.9,105.9,10013.6,3.7,111.1,97293.28,1.2,108,3792.34,4.8,104,74565.78,1.3,105.6,14458.4,4.7,106.6
,FALSE,006CALS.d,11/13/2022 15:08,CalStd,5,STD4 15-1000 ppb,503.951,2.1,5.91E+04,1.7,516.851,21.5,292.3,21,505.535,2.2,1.05E+06,1,499.028,3.5,5047.95,3.8,1053.933,1.4,7.39E+07,0.7,1005.327,3.3,2.37E+06,2.4,14.827,2.3,208370.11,1.2,257.247,3.3,8.96E+06,2.7,217.183,3.1,2.28E+06,3.1,14.789,2.3,209619.16,1.5,14.911,3,480443.78,1.2,15.255,2.1,378233.41,1.3,15.248,2.6,439886.07,1.4,14.872,2.5,780834.25,1,2604.85,10.5,104.4,2,223.6,100,83086.1,2.1,104.7,754.78,4.2,115.6,97112.21,1.1,102.2,3067.42,3.8,106.7,81329.74,1.3,102.4,9985.56,1.1,110.8,92087.69,1.9,102.3,3958.56,7.9,108.6,71069.77,2.5,100.7,14690.91,2,108.3
,FALSE,007CALS.d,11/13/2022 15:11,CalStd,6,STD5 30-2500 ppb,948.448,1.6,1.16E+05,1.9,941.714,10.5,552.57,9.4,948.491,1.7,1.97E+06,2.8,951.606,6,9957.38,4.5,2499.268,1.4,1.84E+08,1.7,2378.375,3,5.87E+06,1.3,28.572,1.9,419133.54,1.5,491.582,2.1,1.79E+07,1.8,389.397,2.5,4.26E+06,2.5,28.349,1.9,421010.94,1.7,28.625,2.2,974627.18,1.7,28.548,2,747844.45,1.7,28.558,2.3,870492.84,1.9,27.915,2.8,1548480.97,2.5,2564.8,6,102.8,2,223.6,100,85671.3,0.5,108,730.76,8,112,103147.66,0.9,108.6,3261.66,3.3,113.4,85216.35,1.3,107.3,10440.35,2.3,115.8,97287.36,1.4,108,4194.85,5.6,115,75129.51,1.2,106.4,15268.13,1.7,112.5
,FALSE,008SMPL.d,11/13/2022 15:15,Sample,,Cleanout blank 1,1.786,39.1,9.87E+02,8.7,8.955,191.7,10.01,100,-0.343,N/A,1.11E+05,1.7,-0.105,N/A,110.11,22.3,0.335,4.3,2.83E+04,2.5,0.27,19.6,1.28E+03,11.7,-0.104,N/A,240.24,9.8,0.164,5.3,8.36E+03,5,-0.46,N/A,3.89E+04,4.7,0.022,13.9,374.38,11.1,0.003,29.4,116.12,26.3,0.004,53.1,126.13,41.8,0.004,31.2,148.15,27.2,0.003,21.3,412.42,5,2478.7,8.6,99.4,2,223.6,100,84529.78,2.6,106.6,734.76,9.3,112.6,100077.16,2.1,105.3,3371.8,2.6,117.3,84626.39,3.2,106.6,10720.86,4,118.9,96122.26,3.5,106.7,4258.94,4.4,116.8,73662.15,2.6,104.4,15492.55,1.8,114.2
"55  Mn  [ No Gas ] :  CPS RSD value = 5.66 is over the allowed maximum = 5.007  Li ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 200.00 is outside the allowed range [80.00, 120.00]45  Sc ( ISTD )  [ He Gas ] :  ISTD Recovery Percent value = 129.14 is outside the allowed range [80.00, 120.00]",FALSE,009SMPL.d,11/13/2022 15:19,Sample,,Cleanout blank 2,1.802,47.8,1.00E+03,9.8,2.315,669.6,6.01,149.1,-2.05,N/A,1.09E+05,1,4.986,45.9,164.16,15.9,0.198,7.1,1.86E+04,5.7,0.092,40.2,8.25E+02,9,-0.091,N/A,426.44,13.1,0.079,7.6,5.34E+03,3.5,-0.516,N/A,3.88E+04,2.7,0.011,38.3,220.22,29.3,0.002,35.9,62.06,35,0.002,53.8,76.08,35.6,0.002,36.1,74.07,24.5,0.002,47.5,386.4,13.8,2566.8,5.8,102.9,4,136.9,200,84570.06,0.9,106.6,842.87,13.1,129.1,101552.68,1.6,106.9,3215.61,5.3,111.8,85689.32,0.8,107.9,10684.76,3,118.5,98095.39,0.6,108.9,4353.06,6.3,119.4,73167.01,2,103.6,15666.94,1.4,115.5
